timestamp,endpoint,userId,success,fail,min_ms,max_ms,avg_ms,total_requests
2025-10-05T10:06:49.761990,embedding,anon,1,0,0.004699999408330768,0.004699999408330768,0.0,1
2025-10-05T10:07:37.276646,embedding,anon,1,0,0.0042000028770416975,0.0042000028770416975,0.0,1
2025-10-05T10:18:42.923674,embedding,anon,1,0,0.004199995601084083,0.004199995601084083,0.0,1
2025-10-05T10:24:46.577850,recommendations,user_393068,1,0,629.629399998521,629.629399998521,629.63,1
2025-10-05T10:24:47.126098,recommendations,user_967986,1,0,1167.362599997432,1167.362599997432,1167.36,1
2025-10-05T10:24:47.157880,recommendations,user_379568,1,0,1198.053299995081,1198.053299995081,1198.05,1
2025-10-05T10:24:47.483015,recommendations,user_253794,1,0,1522.3234000004595,1522.3234000004595,1522.32,1
2025-10-05T10:24:47.708165,recommendations,user_460891,1,0,1746.327699998801,1746.327699998801,1746.33,1
2025-10-05T10:24:48.074211,recommendations,user_208760,1,0,2116.914199999883,2116.914199999883,2116.91,1
2025-10-05T10:24:48.277736,recommendations,user_173853,1,0,2039.7014999980456,2039.7014999980456,2039.7,1
2025-10-05T10:24:48.306202,recommendations,user_608984,1,0,2070.453799999086,2070.453799999086,2070.45,1
2025-10-05T10:24:48.376296,recommendations,user_931178,1,0,2137.109600000258,2137.109600000258,2137.11,1
2025-10-05T10:24:48.421440,recommendations,user_953795,1,0,2463.7291000035475,2463.7291000035475,2463.73,1
2025-10-05T10:24:48.581196,recommendations,user_375121,1,0,2340.9020000035525,2340.9020000035525,2340.9,1
2025-10-05T10:24:48.589477,recommendations,user_342944,1,0,2350.081399999908,2350.081399999908,2350.08,1
2025-10-05T10:24:48.601161,recommendations,user_543348,1,0,2362.1273999960977,2362.1273999960977,2362.13,1
2025-10-05T10:24:48.914244,recommendations,user_605809,1,0,2674.416400004702,2674.416400004702,2674.42,1
2025-10-05T10:24:49.052139,recommendations,user_309253,1,0,3085.6769000019995,3085.6769000019995,3085.68,1
2025-10-05T10:24:49.099183,recommendations,user_717716,1,0,2857.409500000358,2857.409500000358,2857.41,1
2025-10-05T10:24:49.116671,recommendations,user_5866,1,0,2875.934800002142,2875.934800002142,2875.93,1
2025-10-05T10:24:49.354969,recommendations,user_92336,1,0,3112.0016000058968,3112.0016000058968,3112.0,1
2025-10-05T10:24:49.413403,recommendations,user_779992,1,0,3173.103399996762,3173.103399996762,3173.1,1
2025-10-05T10:24:49.469248,recommendations,user_812044,1,0,3227.236200000334,3227.236200000334,3227.24,1
2025-10-05T10:24:49.630268,recommendations,user_773811,1,0,3388.1723000013153,3388.1723000013153,3388.17,1
2025-10-05T10:24:49.686965,recommendations,user_278173,1,0,3723.761100001866,3723.761100001866,3723.76,1
2025-10-05T10:24:49.705201,recommendations,user_441935,1,0,3461.404699999548,3461.404699999548,3461.4,1
2025-10-05T10:24:49.736955,recommendations,user_826985,1,0,3493.6213999972097,3493.6213999972097,3493.62,1
2025-10-05T10:24:49.802557,recommendations,user_687333,1,0,3557.5514000011026,3557.5514000011026,3557.55,1
2025-10-05T10:24:49.833366,recommendations,user_258383,1,0,3588.9766000036616,3588.9766000036616,3588.98,1
2025-10-05T10:24:49.846626,recommendations,user_949724,1,0,3602.7218000017456,3602.7218000017456,3602.72,1
2025-10-05T10:24:49.863264,recommendations,user_67577,1,0,3899.997099993925,3899.997099993925,3900.0,1
2025-10-05T10:24:50.436524,recommendations,user_504199,1,0,4191.129200000432,4191.129200000432,4191.13,1
2025-10-05T10:24:50.469346,recommendations,user_220031,1,0,4221.972999999707,4221.972999999707,4221.97,1
2025-10-05T10:24:50.481738,recommendations,user_723346,1,0,4235.531799997261,4235.531799997261,4235.53,1
2025-10-05T10:24:50.493574,recommendations,user_799710,1,0,4248.047599998245,4248.047599998245,4248.05,1
2025-10-05T10:24:50.507591,recommendations,user_341002,1,0,4261.457000000519,4261.457000000519,4261.46,1
2025-10-05T10:24:50.517919,recommendations,user_402698,1,0,4272.145599999931,4272.145599999931,4272.15,1
2025-10-05T10:24:50.539661,recommendations,user_250403,1,0,4292.701699996542,4292.701699996542,4292.7,1
2025-10-05T10:24:50.547346,recommendations,user_31006,1,0,4301.01139999897,4301.01139999897,4301.01,1
2025-10-05T10:24:50.741626,recommendations,user_116749,1,0,4489.471100001538,4489.471100001538,4489.47,1
2025-10-05T10:24:50.836897,recommendations,user_357855,1,0,4589.4917999976315,4589.4917999976315,4589.49,1
2025-10-05T10:24:50.842896,recommendations,user_643988,1,0,4596.06409999833,4596.06409999833,4596.06,1
2025-10-05T10:24:50.867921,recommendations,user_156219,1,0,4619.780000000901,4619.780000000901,4619.78,1
2025-10-05T10:24:50.929029,recommendations,user_134209,1,0,4687.912399997003,4687.912399997003,4687.91,1
2025-10-05T10:24:51.072808,recommendations,user_894484,1,0,4823.729999996431,4823.729999996431,4823.73,1
2025-10-05T10:24:51.137157,recommendations,user_124290,1,0,4889.509200002067,4889.509200002067,4889.51,1
2025-10-05T10:24:51.182193,recommendations,user_452565,1,0,4937.388999998802,4937.388999998802,4937.39,1
2025-10-05T10:24:51.195092,recommendations,user_387090,1,0,4945.710100000724,4945.710100000724,4945.71,1
2025-10-05T10:24:51.248531,recommendations,user_37165,1,0,4999.719700004789,4999.719700004789,4999.72,1
2025-10-05T10:24:51.332634,recommendations,user_382728,1,0,5084.915200000978,5084.915200000978,5084.92,1
2025-10-05T10:24:51.399283,recommendations,user_221058,1,0,5156.912200000079,5156.912200000079,5156.91,1
2025-10-05T10:24:52.892397,recommendations,user_395546,1,0,6644.247600001108,6644.247600001108,6644.25,1
2025-10-05T10:24:53.404947,recommendations,user_426616,1,0,7156.302499999583,7156.302499999583,7156.3,1
2025-10-05T10:24:54.077224,recommendations,anon,1,0,570.8162000009906,570.8162000009906,570.82,1
